User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
1000001,Chris,P00059442,F,0-17,13,Married,Maharashtra,Western,Aviation,Electronics & Gadgets,1,"? 3,977.00"
1000002,Latchford,P00115342,F,55+,56,Unmarried,Gujarat,Western,Agriculture,Clothing & Apparel,3,"? 7,098.00"
1000016,Justin,P00238542,M,36-45,45,Unmarried,Gujarat,Western,Retail,Sports Products,2,"? 8,177.00"
1000028,Rachna,P00270242,M,26-35,34,Married,Maharashtra,Western,Media,Clothing & Apparel,4,"? 1,955.00"
1000029,Smayling,P00048142,F,36-45,42,Married,Jharkhand,Eastern,Aviation,Games & Toys,2,"? 6,356.00"
1000031,Gaurav,P00270842,F,55+,65,Married,Uttarakhand,Central,Food Processing,Clothing & Apparel,4,"? 8,872.00"
1000034,Brenda,P00033042,M,18-25,22,Married,Maharashtra,Western,Banking,Food,4,"? 7,651.00"
1000037,Stugart,P00220442,M,26-35,30,Married,Jharkhand,Eastern,Lawyer,Clothing & Apparel,4,"? 5,310.00"
1000044,Philip,P00323942,M,46-50,50,Married,Karnataka,Southern,Media,Footwear & Shoes,4,"? 16,219.00"
1000049,Shreyoshe,P00111142,F,18-25,24,Unmarried,Karnataka,Southern,Media,Food,4,"? 19,297.00"
1000057,Chayanika,P00351342,F,18-25,18,Married,Uttar Pradesh,Central,Retail,Food,2,"? 7,956.00"
1000059,Ellison,P00298242,M,51-55,52,Unmarried,Maharashtra,Western,Govt,Electronics & Gadgets,4,"? 7,936.00"
1000061,Molinari,P00337842,F,26-35,28,Married,Karnataka,Southern,Construction,Household items,3,"? 3,128.00"
1000064,Sweta,P00270642,F,18-25,21,Unmarried,Uttar Pradesh,Central,Construction,Clothing & Apparel,1,"? 2,047.00"
1000071,Surbhi,P00062842,F,26-35,33,Unmarried,Delhi,Central,Retail,Footwear & Shoes,3,"? 20,169.00"
1000076,Staavos,P00351342,F,36-45,42,Married,Jharkhand,Eastern,Food Processing,Electronics & Gadgets,1,"? 6,102.00"
1000077,Saunders,P00224142,F,18-25,21,Unmarried,Himachal Pradesh,Northern,Agriculture,Clothing & Apparel,2,"? 5,269.00"
1000081,Laalji,P00184942,M,26-35,26,Unmarried,Karnataka,Southern,Food Processing,Food,2,"? 19,547.00"
1000089,Ekta,P00349942,M,55+,71,Married,Delhi,Central,Aviation,Electronics & Gadgets,1,"? 8,037.00"
1000091,Raymond,P00189342,F,36-45,42,Unmarried,Karnataka,Southern,IT Sector,Footwear & Shoes,3,"? 16,517.00"
1000095,Tulika,P00198742,F,46-50,47,Married,Karnataka,Southern,Automobile,Food,1,"? 11,608.00"
1000096,Stefanie,P00161942,M,26-35,31,Unmarried,Jharkhand,Eastern,IT Sector,Electronics & Gadgets,2,"? 8,025.00"
1000098,Merwin,P00302142,M,36-45,42,Unmarried,Karnataka,Southern,Aviation,Sports Products,4,"? 10,692.00"
1000100,Schwarz,P00032042,F,36-45,39,Unmarried,Himachal Pradesh,Northern,Construction,Sports Products,4,"? 13,338.00"
1000101,Federle,P00241642,M,18-25,21,Married,Andhra Pradesh,Southern,Media,Electronics & Gadgets,1,"? 8,133.00"
1000106,Haberlin,P00085442,M,36-45,40,Married,Uttar Pradesh,Central,IT Sector,Clothing & Apparel,4,"? 5,340.00"
1000111,Soodesh,P00150342,M,36-45,42,Married,Delhi,Central,Lawyer,Electronics & Gadgets,2,"? 8,080.00"
1000113,Ellis,P00180642,F,18-25,19,Married,Andhra Pradesh,Southern,Govt,Auto,4,"? 23,546.00"
1000116,Blackwell,P00066642,F,26-35,29,Unmarried,Uttar Pradesh,Central,Agriculture,Electronics & Gadgets,1,"? 9,786.00"
1000119,Roger,P0095842,M,0-17,12,Unmarried,Karnataka,Southern,Healthcare,Electronics & Gadgets,1,"? 7,972.00"
1000121,Elliston,P00110942,F,36-45,38,Unmarried,Andhra Pradesh,Southern,Govt,Auto,3,"? 18,770.00"
1000125,Bavinger,P00288942,F,46-50,48,Married,Madhya Pradesh,Central,Hospitality,Footwear & Shoes,1,"? 8,102.00"
1000126,Marc,P00110042,F,18-25,19,Married,Bihar,Eastern,Govt,Electronics & Gadgets,2,"? 2,126.00"
1000127,Saloni,P00293242,M,46-50,47,Married,Delhi,Central,IT Sector,Clothing & Apparel,3,"? 2,041.00"
1000130,Herrera,P00338542,F,36-45,44,Unmarried,Maharashtra,Western,Media,Sports Products,1,"? 10,593.00"
1000133,David,P00354942,M,26-35,35,Married,Maharashtra,Western,Retail,Clothing & Apparel,1,"? 8,589.00"
1000138,Freymann,P00355142,F,18-25,23,Unmarried,Andhra Pradesh,Southern,IT Sector,Electronics & Gadgets,1,"? 7,815.00"
1000139,Wendt,P00196042,M,26-35,26,Married,Karnataka,Southern,Food Processing,Household items,4,"? 2,379.00"
1000143,Chung,P00219842,F,18-25,20,Married,Madhya Pradesh,Central,Agriculture,Electronics & Gadgets,2,"? 9,969.00"
1000147,Poirier,P00002542,F,18-25,20,Unmarried,Himachal Pradesh,Northern,Healthcare,Electronics & Gadgets,2,"? 7,954.00"
1000153,Adams,P00366242,F,0-17,15,Unmarried,Delhi,Central,IT Sector,Food,2,"? 11,846.00"
1000154,Shami,P00306042,F,51-55,53,Married,Karnataka,Southern,Textile,Footwear & Shoes,4,"? 20,965.00"
1000162,Thompson,P00172842,M,18-25,21,Married,Kerala,Southern,Agriculture,Clothing & Apparel,1,"? 6,910.00"
1000167,Brooke,P00322142,M,26-35,32,Unmarried,Maharashtra,Western,Food Processing,Furniture,2,"? 20,666.00"
1000168,Dana,P00035542,M,51-55,52,Unmarried,Madhya Pradesh,Central,Chemical,Food,1,"? 11,441.00"
1000174,Edelman,P00312742,F,26-35,35,Married,Andhra Pradesh,Southern,IT Sector,Beauty,2,"? 4,490.00"
1000177,Nidhi,P00145042,F,51-55,54,Unmarried,Uttar Pradesh,Central,IT Sector,Clothing & Apparel,3,"? 5,318.00"
1000178,Rashmi,P00103042,M,55+,87,Married,Delhi,Central,IT Sector,Stationery,3,"? 12,876.00"
1000184,Cooley,P00046642,M,26-35,29,Unmarried,Madhya Pradesh,Central,Food Processing,Food,1,"? 15,423.00"
1000185,Trudy,P00220142,F,46-50,46,Married,Kerala,Southern,Chemical,Electronics & Gadgets,4,"? 9,768.00"
1000186,Beth,P00249542,F,18-25,23,Married,Maharashtra,Western,Healthcare,Food,4,"? 15,803.00"
1000191,Scott,P00155642,F,18-25,21,Unmarried,Himachal Pradesh,Northern,Textile,Sports Products,3,"? 10,857.00"
1000197,Zandusky,P00025942,F,18-25,21,Unmarried,Uttarakhand,Central,Govt,Furniture,4,"? 16,271.00"
1000199,Currie,P00159242,F,18-25,18,Unmarried,Uttar Pradesh,Central,Healthcare,Pet Care,2,"? 2,839.00"
1000207,Waco,P00324942,F,26-35,29,Unmarried,Kerala,Southern,Hospitality,Clothing & Apparel,4,"? 6,922.00"
1000208,Deirdre,P00200642,F,36-45,43,Unmarried,Uttar Pradesh,Central,Chemical,Food,4,"? 15,593.00"
1000211,Eno,P00325242,F,46-50,46,Unmarried,Andhra Pradesh,Southern,Healthcare,Auto,1,"? 18,995.00"
1000215,Bryan,P00102342,F,36-45,40,Unmarried,Maharashtra,Western,Banking,Office,1,? 759.00
1000233,Shruti,P00342742,M,46-50,49,Unmarried,Punjab,Northern,IT Sector,Household items,2,"? 2,309.00"
1000234,Wendt,P00051442,F,36-45,43,Unmarried,Rajasthan,Northern,Lawyer,Clothing & Apparel,4,"? 3,739.00"
1000236,Russell,P00031042,F,26-35,30,Married,Himachal Pradesh,Northern,Hospitality,Clothing & Apparel,1,"? 3,692.00"
1000237,Bergmann,P00119742,F,26-35,30,Unmarried,Uttar Pradesh,Central,Healthcare,Electronics & Gadgets,1,"? 7,995.00"
1000239,Davis,P00102342,F,18-25,23,Unmarried,Uttar Pradesh,Central,Govt,Food,1,"? 15,893.00"
1000244,Shaun,P00285842,F,51-55,52,Unmarried,Uttar Pradesh,Central,Chemical,Clothing & Apparel,1,"? 5,177.00"
1000249,Tonja,P00237242,M,18-25,23,Unmarried,Kerala,Southern,Healthcare,Sports Products,2,"? 7,947.00"
1000251,Sakshi,P00228242,F,55+,75,Married,Uttar Pradesh,Central,Aviation,Food,2,"? 19,344.00"
1000252,Carol,P00237542,F,26-35,27,Unmarried,Madhya Pradesh,Central,IT Sector,Beauty,3,"? 7,621.00"
1000258,Cazamias,P00127442,F,26-35,28,Unmarried,Madhya Pradesh,Central,Healthcare,Food,3,"? 8,327.00"
1000259,Radford,P00293242,F,26-35,33,Unmarried,Himachal Pradesh,Northern,Aviation,Clothing & Apparel,2,"? 5,431.00"
1000260,Nicole,P00321342,F,18-25,23,Unmarried,Karnataka,Southern,Automobile,Household items,1,"? 3,019.00"
1000263,Sam,P00355142,M,26-35,31,Married,Himachal Pradesh,Northern,Lawyer,Food,4,"? 12,060.00"
1000265,Carlisle,P00343442,M,36-45,38,Unmarried,Uttar Pradesh,Central,Automobile,Food,2,"? 12,071.00"
1000273,Aarushi,P00112142,F,18-25,22,Unmarried,Punjab,Northern,Automobile,Electronics & Gadgets,1,"? 10,021.00"
